"Classif1_Item_Label","France","Germany","Italy","Spain","Switzerland","United Kingdom"
"Clerical, service and sales workers",-1.84561301369852,3.12319773665899,-0.402221775650452,8.78341520006989,-0.895314414127718,-3.10591467492578
"Elementary occupations",2.19091522150999,0.0478655170506145,2.23445509092567,-1.67032439669421,-1.75770736055975,1.14028990765063
"Managers, professionals, and technicians",8.49394463685911,4.57848155137244,4.49565859558864,4.13975572695987,9.11525441070762,7.33147025508856
"Plant and machine operators, and assemblers",-3.44691997813688,-1.33159425249989,-2.45257224341955,-3.25596260001221,-1.12492335074639,-2.71825794019311
"Skilled agricultural and trades workers",-5.18194474286197,-5.1768242788666,-4.93956350418127,-8.02508892140434,-5.10706328112036,-2.57507359976847
